received 50.0 MiB in 109s
received 100.0 MiB in 180s
received 150.0 MiB in 255s
received 200.2 MiB in 312s
received 250.2 MiB in 365s
received 300.0 MiB in 455s
received 350.2 MiB in 497s
received 400.1 MiB in 549s
received 450.0 MiB in 674s
received 500.0 MiB in 764s
received 550.2 MiB in 792s
received 600.0 MiB in 840s
received 650.1 MiB in 880s
received 700.0 MiB in 944s
received 750.0 MiB in 999s
received 800.2 MiB in 1084s
received 850.1 MiB in 1152s
received 900.0 MiB in 1253s
received 950.1 MiB in 1367s
[sudo] password for pi: 
12582912 bytes (13 MB, 12 MiB) copied, 2 s, 7.0 MB/s
16777216 bytes (17 MB, 16 MiB) copied, 3 s, 6.6 MB/s
20971520 bytes (21 MB, 20 MiB) copied, 3 s, 6.4 MB/s
29360128 bytes (29 MB, 28 MiB) copied, 6 s, 5.3 MB/s
33554432 bytes (34 MB, 32 MiB) copied, 12 s, 2.9 MB/s
37748736 bytes (38 MB, 36 MiB) copied, 17 s, 2.2 MB/s
41943040 bytes (42 MB, 40 MiB) copied, 22 s, 1.9 MB/s
46137344 bytes (46 MB, 44 MiB) copied, 24 s, 1.9 MB/s
50331648 bytes (50 MB, 48 MiB) copied, 25 s, 2.1 MB/s
54525952 bytes (55 MB, 52 MiB) copied, 25 s, 2.2 MB/s
58720256 bytes (59 MB, 56 MiB) copied, 25 s, 2.3 MB/s
62914560 bytes (63 MB, 60 MiB) copied, 26 s, 2.5 MB/s
67108864 bytes (67 MB, 64 MiB) copied, 26 s, 2.6 MB/s
71303168 bytes (71 MB, 68 MiB) copied, 26 s, 2.7 MB/s
75497472 bytes (75 MB, 72 MiB) copied, 26 s, 2.9 MB/s
79691776 bytes (80 MB, 76 MiB) copied, 27 s, 3.0 MB/s
83886080 bytes (84 MB, 80 MiB) copied, 27 s, 3.1 MB/s
88080384 bytes (88 MB, 84 MiB) copied, 27 s, 3.3 MB/s
92274688 bytes (92 MB, 88 MiB) copied, 27 s, 3.4 MB/s
96468992 bytes (96 MB, 92 MiB) copied, 28 s, 3.4 MB/s
100663296 bytes (101 MB, 96 MiB) copied, 29 s, 3.4 MB/s
104857600 bytes (105 MB, 100 MiB) copied, 31 s, 3.4 MB/s
109051904 bytes (109 MB, 104 MiB) copied, 32 s, 3.5 MB/s
113246208 bytes (113 MB, 108 MiB) copied, 33 s, 3.4 MB/s
117440512 bytes (117 MB, 112 MiB) copied, 34 s, 3.5 MB/s
121634816 bytes (122 MB, 116 MiB) copied, 34 s, 3.6 MB/s
125829120 bytes (126 MB, 120 MiB) copied, 34 s, 3.7 MB/s
130023424 bytes (130 MB, 124 MiB) copied, 34 s, 3.8 MB/s
134217728 bytes (134 MB, 128 MiB) copied, 35 s, 3.9 MB/s
138412032 bytes (138 MB, 132 MiB) copied, 35 s, 4.0 MB/s
142606336 bytes (143 MB, 136 MiB) copied, 35 s, 4.1 MB/s
146800640 bytes (147 MB, 140 MiB) copied, 35 s, 4.2 MB/s
150994944 bytes (151 MB, 144 MiB) copied, 36 s, 4.2 MB/s
155189248 bytes (155 MB, 148 MiB) copied, 36 s, 4.3 MB/s
159383552 bytes (159 MB, 152 MiB) copied, 36 s, 4.4 MB/s
163577856 bytes (164 MB, 156 MiB) copied, 36 s, 4.5 MB/s
176160768 bytes (176 MB, 168 MiB) copied, 37 s, 4.7 MB/s
192937984 bytes (193 MB, 184 MiB) copied, 38 s, 5.1 MB/s
209715200 bytes (210 MB, 200 MiB) copied, 39 s, 5.4 MB/s
226492416 bytes (226 MB, 216 MiB) copied, 40 s, 5.6 MB/s
243269632 bytes (243 MB, 232 MiB) copied, 41 s, 5.9 MB/s
260046848 bytes (260 MB, 248 MiB) copied, 42 s, 6.2 MB/s
276824064 bytes (277 MB, 264 MiB) copied, 43 s, 6.4 MB/s
293601280 bytes (294 MB, 280 MiB) copied, 44 s, 6.7 MB/s
310378496 bytes (310 MB, 296 MiB) copied, 45 s, 6.9 MB/s
327155712 bytes (327 MB, 312 MiB) copied, 46 s, 7.1 MB/s
343932928 bytes (344 MB, 328 MiB) copied, 47 s, 7.3 MB/s
360710144 bytes (361 MB, 344 MiB) copied, 48 s, 7.5 MB/s
377487360 bytes (377 MB, 360 MiB) copied, 49 s, 7.7 MB/s
398458880 bytes (398 MB, 380 MiB) copied, 50 s, 7.9 MB/s
415236096 bytes (415 MB, 396 MiB) copied, 51 s, 8.1 MB/s
432013312 bytes (432 MB, 412 MiB) copied, 52 s, 8.3 MB/s
444596224 bytes (445 MB, 424 MiB) copied, 53 s, 8.4 MB/s
461373440 bytes (461 MB, 440 MiB) copied, 54 s, 8.5 MB/s
482344960 bytes (482 MB, 460 MiB) copied, 55 s, 8.7 MB/s
499122176 bytes (499 MB, 476 MiB) copied, 56 s, 8.9 MB/s
515899392 bytes (516 MB, 492 MiB) copied, 57 s, 9.0 MB/s
532676608 bytes (533 MB, 508 MiB) copied, 58 s, 9.2 MB/s
549453824 bytes (549 MB, 524 MiB) copied, 59 s, 9.3 MB/s
566231040 bytes (566 MB, 540 MiB) copied, 60 s, 9.4 MB/s
583008256 bytes (583 MB, 556 MiB) copied, 61 s, 9.5 MB/s
599785472 bytes (600 MB, 572 MiB) copied, 62 s, 9.7 MB/s
616562688 bytes (617 MB, 588 MiB) copied, 63 s, 9.8 MB/s
